eruptions,waiting,density
1.6,43,0.003216159
1.647297297,43,0.003835375
1.694594595,43,0.004435548
1.741891892,43,0.004977614
1.789189189,43,0.005424238
1.836486486,43,0.005744544
1.883783784,43,0.005918012
1.931081081,43,0.005936762
1.978378378,43,0.005805861
2.025675676,43,0.005541706
2.072972973,43,0.005168979
2.12027027,43,0.004716903
2.167567568,43,0.004215592
2.214864865,43,0.003693071
2.262162162,43,0.003173317
2.309459459,43,0.002675315
2.356756757,43,0.002212951
2.404054054,43,0.001795434
2.451351351,43,0.001427956
2.498648649,43,0.001112406
2.545945946,43,0.000848024
2.593243243,43,0.000631991
2.640540541,43,0.000459967
2.687837838,43,0.000326606
2.735135135,43,0.000226047
2.782432432,43,0.000152364
2.82972973,43,9.99E-05
2.877027027,43,6.38E-05
2.924324324,43,3.95E-05
2.971621622,43,2.38E-05
3.018918919,43,1.39E-05
3.066216216,43,7.90E-06
3.113513514,43,4.35E-06
3.160810811,43,2.33E-06
3.208108108,43,1.21E-06
3.255405405,43,6.06E-07
3.302702703,43,2.96E-07
3.35,43,1.40E-07
3.397297297,43,6.44E-08
3.444594595,43,2.88E-08
3.491891892,43,1.25E-08
3.539189189,43,5.31E-09
3.586486486,43,2.20E-09
3.633783784,43,8.97E-10
3.681081081,43,3.59E-10
3.728378378,43,1.42E-10
3.775675676,43,5.60E-11
3.822972973,43,2.20E-11
3.87027027,43,8.60E-12
3.917567568,43,3.36E-12
3.964864865,43,1.31E-12
4.012162162,43,5.08E-13
4.059459459,43,1.94E-13
4.106756757,43,7.34E-14
4.154054054,43,2.71E-14
4.201351351,43,9.80E-15
4.248648649,43,3.45E-15
4.295945946,43,1.18E-15
4.343243243,43,3.90E-16
4.390540541,43,1.25E-16
4.437837838,43,3.90E-17
4.485135135,43,1.17E-17
4.532432432,43,3.41E-18
4.57972973,43,9.58E-19
4.627027027,43,2.61E-19
4.674324324,43,6.91E-20
4.721621622,43,1.79E-20
4.768918919,43,4.56E-21
4.816216216,43,1.17E-21
4.863513514,43,3.13E-22
4.910810811,43,8.97E-23
4.958108108,43,2.81E-23
5.005405405,43,9.58E-24
5.052702703,43,3.44E-24
5.1,43,1.26E-24
1.6,43.71621622,0.004385503
1.647297297,43.71621622,0.00520742
1.694594595,43.71621622,0.005996234
1.741891892,43.71621622,0.006699974
1.789189189,43.71621622,0.007270138
1.836486486,43.71621622,0.00766795
1.883783784,43.71621622,0.007869232
1.931081081,43.71621622,0.007866965
1.978378378,43.71621622,0.007671094
2.025675676,43.71621622,0.00730583
2.072972973,43.71621622,0.006805197
2.12027027,43.71621622,0.006207912
2.167567568,43.71621622,0.005552638
2.214864865,43.71621622,0.004874369
2.262162162,43.71621622,0.004202284
2.309459459,43.71621622,0.003558983
2.356756757,43.71621622,0.00296074
2.404054054,43.71621622,0.002418321
2.451351351,43.71621622,0.001937943
2.498648649,43.71621622,0.001522157
2.545945946,43.71621622,0.001170546
2.593243243,43.71621622,0.000880287
2.640540541,43.71621622,0.000646647
2.687837838,43.71621622,0.000463495
2.735135135,43.71621622,0.000323835
2.782432432,43.71621622,0.000220351
2.82972973,43.71621622,0.000145908
2.877027027,43.71621622,9.40E-05
2.924324324,43.71621622,5.88E-05
2.971621622,43.71621622,3.58E-05
3.018918919,43.71621622,2.11E-05
3.066216216,43.71621622,1.21E-05
3.113513514,43.71621622,6.73E-06
3.160810811,43.71621622,3.64E-06
3.208108108,43.71621622,1.91E-06
3.255405405,43.71621622,9.71E-07
3.302702703,43.71621622,4.81E-07
3.35,43.71621622,2.31E-07
3.397297297,43.71621622,1.09E-07
3.444594595,43.71621622,4.97E-08
3.491891892,43.71621622,2.22E-08
3.539189189,43.71621622,9.78E-09
3.586486486,43.71621622,4.23E-09
3.633783784,43.71621622,1.81E-09
3.681081081,43.71621622,7.70E-10
3.728378378,43.71621622,3.26E-10
3.775675676,43.71621622,1.38E-10
3.822972973,43.71621622,5.80E-11
3.87027027,43.71621622,2.43E-11
3.917567568,43.71621622,1.01E-11
3.964864865,43.71621622,4.16E-12
4.012162162,43.71621622,1.68E-12
4.059459459,43.71621622,6.68E-13
4.106756757,43.71621622,2.59E-13
4.154054054,43.71621622,9.76E-14
4.201351351,43.71621622,3.58E-14
4.248648649,43.71621622,1.27E-14
4.295945946,43.71621622,4.38E-15
4.343243243,43.71621622,1.46E-15
4.390540541,43.71621622,4.71E-16
4.437837838,43.71621622,1.47E-16
4.485135135,43.71621622,4.43E-17
4.532432432,43.71621622,1.29E-17
4.57972973,43.71621622,3.66E-18
4.627027027,43.71621622,1.01E-18
4.674324324,43.71621622,2.72E-19
4.721621622,43.71621622,7.33E-20
4.768918919,43.71621622,2.01E-20
4.816216216,43.71621622,5.79E-21
4.863513514,43.71621622,1.81E-21
4.910810811,43.71621622,6.22E-22
4.958108108,43.71621622,2.29E-22
5.005405405,43.71621622,8.76E-23
5.052702703,43.71621622,3.38E-23
5.1,43.71621622,1.29E-23
1.6,44.43243243,0.005662332
1.647297297,44.43243243,0.006702939
1.694594595,44.43243243,0.007694703
1.741891892,44.43243243,0.008571867
1.789189189,44.43243243,0.009274125
1.836486486,44.43243243,0.009754473
1.883783784,44.43243243,0.009985111
1.931081081,44.43243243,0.009960234
1.978378378,44.43243243,0.009695252
2.025675676,44.43243243,0.009222884
2.072972973,44.43243243,0.008587172
2.12027027,44.43243243,0.00783687
2.167567568,44.43243243,0.007019547
2.214864865,44.43243243,0.006177315
2.262162162,44.43243243,0.005344545
2.309459459,44.43243243,0.004547342
2.356756757,44.43243243,0.003804248
2.404054054,44.43243243,0.003127522
2.451351351,44.43243243,0.002524452
2.498648649,44.43243243,0.001998408
2.545945946,44.43243243,0.001549572
2.593243243,44.43243243,0.001175423
2.640540541,44.43243243,0.000871149
2.687837838,44.43243243,0.000630092
2.735135135,44.43243243,0.000444301
2.782432432,44.43243243,0.000305153
2.82972973,44.43243243,0.000203981
2.877027027,44.43243243,0.000132622
2.924324324,44.43243243,8.38E-05
2.971621622,44.43243243,5.15E-05
3.018918919,44.43243243,3.07E-05
3.066216216,44.43243243,1.78E-05
3.113513514,44.43243243,1.00E-05
3.160810811,44.43243243,5.49E-06
3.208108108,44.43243243,2.93E-06
3.255405405,44.43243243,1.52E-06
3.302702703,44.43243243,7.66E-07
3.35,44.43243243,3.78E-07
3.397297297,44.43243243,1.83E-07
3.444594595,44.43243243,8.66E-08
3.491891892,44.43243243,4.05E-08
3.539189189,44.43243243,1.87E-08
3.586486486,44.43243243,8.59E-09
3.633783784,44.43243243,3.92E-09
3.681081081,44.43243243,1.78E-09
3.728378378,44.43243243,8.07E-10
3.775675676,44.43243243,3.64E-10
3.822972973,44.43243243,1.62E-10
3.87027027,44.43243243,7.16E-11
3.917567568,44.43243243,3.11E-11
3.964864865,44.43243243,1.32E-11
4.012162162,44.43243243,5.48E-12
4.059459459,44.43243243,2.21E-12
4.106756757,44.43243243,8.70E-13
4.154054054,44.43243243,3.32E-13
4.201351351,44.43243243,1.23E-13
4.248648649,44.43243243,4.38E-14
4.295945946,44.43243243,1.52E-14
4.343243243,44.43243243,5.07E-15
4.390540541,44.43243243,1.64E-15
4.437837838,44.43243243,5.14E-16
4.485135135,44.43243243,1.56E-16
4.532432432,44.43243243,4.58E-17
4.57972973,44.43243243,1.31E-17
4.627027027,44.43243243,3.72E-18
4.674324324,44.43243243,1.06E-18
4.721621622,44.43243243,3.10E-19
4.768918919,44.43243243,9.74E-20
4.816216216,44.43243243,3.34E-20
4.863513514,44.43243243,1.25E-20
4.910810811,44.43243243,4.94E-21
4.958108108,44.43243243,2.00E-21
5.005405405,44.43243243,8.09E-22
5.052702703,44.43243243,3.22E-22
5.1,44.43243243,1.24E-22
1.6,45.14864865,0.00694126
1.647297297,45.14864865,0.008202207
1.694594595,45.14864865,0.009399722
1.741891892,45.14864865,0.010454443
1.789189189,45.14864865,0.011294291
1.836486486,45.14864865,0.0118639
1.883783784,45.14864865,0.012131543
1.931081081,45.14864865,0.012092187
1.978378378,45.14864865,0.01176621
2.025675676,45.14864865,0.011194342
2.072972973,45.14864865,0.010430217
2.12027027,45.14864865,0.009532305
2.167567568,45.14864865,0.008556869
2.214864865,45.14864865,0.007553033
2.262162162,45.14864865,0.006560321
2.309459459,45.14864865,0.005608364
2.356756757,45.14864865,0.004718043
2.404054054,45.14864865,0.00390323
2.451351351,45.14864865,0.003172463
2.498648649,45.14864865,0.00253018
2.545945946,45.14864865,0.001977467
2.593243243,45.14864865,0.001512454
2.640540541,45.14864865,0.001130595
2.687837838,45.14864865,0.00082503
2.735135135,45.14864865,0.000587107
2.782432432,45.14864865,0.000407067
2.82972973,45.14864865,0.000274792
2.877027027,45.14864865,0.000180508
2.924324324,45.14864865,0.00011534
2.971621622,45.14864865,7.17E-05
3.018918919,45.14864865,4.33E-05
3.066216216,45.14864865,2.55E-05
3.113513514,45.14864865,1.46E-05
3.160810811,45.14864865,8.13E-06
3.208108108,45.14864865,4.42E-06
3.255405405,45.14864865,2.35E-06
3.302702703,45.14864865,1.22E-06
3.35,45.14864865,6.26E-07
3.397297297,45.14864865,3.16E-07
3.444594595,45.14864865,1.57E-07
3.491891892,45.14864865,7.77E-08
3.539189189,45.14864865,3.82E-08
3.586486486,45.14864865,1.87E-08
3.633783784,45.14864865,9.07E-09
3.681081081,45.14864865,4.38E-09
3.728378378,45.14864865,2.10E-09
3.775675676,45.14864865,9.91E-10
3.822972973,45.14864865,4.60E-10
3.87027027,45.14864865,2.09E-10
3.917567568,45.14864865,9.30E-11
